name,parent
Magellan Aerospace,Canada Companies
Northstar,Canada Companies
Onex,Canada Companies
Philippine Metals Inc (PMI),Canada Companies
Pratt & Whitney Canada (P&WC),Canada Companies
PV Labs,Canada Companies
Seaspan,Canada Companies
Simthetiq,Canada Companies
SkyX,Canada Companies
Stratodynamics Aviation,Canada Companies
Telesat,Canada Companies
Viking,Canada Companies
Chile Companies,"Companies (Competitors, Suppliers, Partners)"
ASMAR Shipyard,Chile Companies
ENAER,Chile Companies
China Companies,"Companies (Competitors, Suppliers, Partners)"
607 Institute,China Companies
Aero Engine Corporation of China (AECC),China Companies
Aero Engine Academy of China (AEAC),Aero Engine Corporation of China (AECC)
Aerospace Long-March International Trade Co Ltd (ALIT),China Companies
Aviation Industry Corporation of China (AVIC),China Companies
Aerodynamics Research Institute,Aviation Industry Corporation of China (AVIC)
AVIC Airborne Systems,Aviation Industry Corporation of China (AVIC)
AVIC Manufacturing Technology Institute (MTI),Aviation Industry Corporation of China (AVIC)
Changhe Aircraft Industries Corporation (CAIC),Aviation Industry Corporation of China (AVIC)
Chengdu Aircraft Industry Group / Chengdu Aerospace Corporation,Aviation Industry Corporation of China (AVIC)
First Aircraft Institute,Aviation Industry Corporation of China (AVIC)
Guizhou Aircraft Industry Corporation (GAIC),Aviation Industry Corporation of China (AVIC)
Hongdu Aviation Industry Corporation (HAIC),Aviation Industry Corporation of China (AVIC)
Shenyang Aircraft Corporation,Aviation Industry Corporation of China (AVIC)
Shenyang Aeroengine Research Institute,Shenyang Aircraft Corporation
Shenyang Aircraft Design and Research Institute (SADRI),Shenyang Aircraft Corporation
Xi'an Aircraft Industrial Corporation,Aviation Industry Corporation of China (AVIC)
Xi'an Aero-Engine Corporation (XAEC),Xi'an Aircraft Industrial Corporation
Baotou Benz,China Companies
Beijing Deep Blue Aerospace Technology Co. Ltd.,China Companies
Beijing Guodian Gaoke Technology Co. Ltd.,China Companies
Beijing PieSat Information Technology Co.,China Companies
Beijing Science and Technology (ZHZ),China Companies
Beijing Xinghe Dongli Space Technology Co. Ltd. (Galactic Energy),China Companies
Beijing Xingtu Exploration Technology Co. Ltd. (Space Trek),China Companies
Beijing Zhongzi Yanjing Auto Company,China Companies
Bejing Aerospace Propulsion Technology (BATP),China Companies
Chang Guang Satellite Technology Co. (CGSTL),China Companies
China Aerospace Science and Industry Corporation (CASIC),China Companies
Changfeng Mechanics and Electronics Technology Academy,China Aerospace Science and Industry Corporation (CASIC)
ExPace,China Aerospace Science and Industry Corporation (CASIC)
Xingyun Satellite Co.,China Aerospace Science and Industry Corporation (CASIC)
Xingyun Satellite Constellation,Xingyun Satellite Co.
China Aerospace Science and Technology Corporation (CASC),China Companies
Academy of Aerospace Liquid Propulsion Technology (AALPT),China Aerospace Science and Technology Corporation (CASC)
China Academy of Aerospace Aerodynamics (CAAA),China Aerospace Science and Technology Corporation (CASC)
China Academy of Launch Vehicle Technology (CALT),China Aerospace Science and Technology Corporation (CASC)
China Academy of Space Technology (CAST),China Aerospace Science and Technology Corporation (CASC)
China Aerospace Long-March International (ALIT),China Aerospace Science and Technology Corporation (CASC)
China Satellite Communications / China Satcom,China Aerospace Science and Technology Corporation (CASC)
APT Satellite,China Satellite Communications / China Satcom
ChinaSat,China Satellite Communications / China Satcom
Shanghai Academy of Spaceflight Technology (SAST),China Aerospace Science and Technology Corporation (CASC)
Tianwen-1,China Aerospace Science and Technology Corporation (CASC)
China Automotive Technology and Research Center (CATARC),China Companies
Hanyang Special-purpose Vehicle Research Institute,China Automotive Technology and Research Center (CATARC)
China Electronics Technology Group Corporation (CETC),China Companies
China National Aero-Technology Import & Export Corporation (CATIC),China Companies
China National Heavy Duty Truck Group,China Companies
China Precision Machinery Import - Export Corporation (CPMIEC),China Companies
China Shipbuilding & Offshore International Corporation (CSOC),China Companies
China Shipbuilding Corporation (CSC),China Companies
China Shipbuilding Industry Corporation (CSIC),China Shipbuilding Corporation (CSC)
705th Research Institute,China Shipbuilding Industry Corporation (CSIC)
713th Research Institute,China Shipbuilding Industry Corporation (CSIC)
Dalian Shipbuilding Industry,China Shipbuilding Industry Corporation (CSIC)
China State Shipbuilding Corporation (CSSC),China Shipbuilding Corporation (CSC)
Jiangnan Changxingdao,China State Shipbuilding Corporation (CSSC)
China South Industries Group Corporation (CSGC),China Companies
China Space Sanjiang Group (CSSG),China Companies
Commercial Aircraft Corporation of China (Comac),China Companies
CSGC,China Companies
Dahua,China Companies
DJI,China Companies
Dongfeng Motor Group,China Companies
EHang,China Companies
FAW Group,China Companies
FIMI,China Companies
Galaxy Space,China Companies
Gas Turbine Research Institute (GTRI),China Companies
Guangdong Hongda,China Companies
Han's Eagle,China Companies
Harwar,China Companies
HEAD Aerospace Technology,China Companies
Hikvision,China Companies
Huawei,China Companies
Hudong-Zhonghua Shipbuilding,China Companies
Hytera Communications,China Companies
iSpace,China Companies
JZYJ Space Technology,China Companies
Landspace,China Companies
Link Space,China Companies
LinkSpace,China Companies
MinoSpace,China Companies
Nanjing Research Institute of Electronics Technology (NRIET),China Companies
National Polytechnic University (NPU),China Companies
North Industries Group Corporation (NORINCO),China Companies
OneSpace,China Companies
Parrot Laboratory,China Companies
Poly Technologies,China Companies
SASTIND,China Companies
Shaanxi Aircraft Corporation,China Companies
Shanghai Engineering Center for Microsatellites,China Companies
Shenyang Institute of Automation (SIA),China Companies
Sichuan Dahua General Aircraft Manufacturing Company of China,China Companies
Sichuan Tengden Technology Company,China Companies
Skyrizon,China Companies
Spacety,China Companies
STAR UAV Systems,China Companies
SX2153,China Companies
Unidentified Chinese Manufacturer,China Companies
Wuchang Shipbuilding,China Companies
Wuhan Guide Infrared,China Companies
Wuxi Communications Industry Group,China Companies
Wuxi Industry Development Group,China Companies
Yunzhou Tech,China Companies
Zhejiang Geely Holding Group,China Companies
Zhengzhou Research Institute of Mechanical Engineering,China Companies
Zhong Tian Guide Control Technology Company (ZT Guide),China Companies
Zhuhai Orbita Aerospace Science & Technology Co. Ltd.,China Companies
Ziyan,China Companies
ZTE,China Companies
Colombia Companies,"Companies (Competitors, Suppliers, Partners)"
CODALTEC,Colombia Companies
Corporaci�n de la Industria Aeron�utica Colombiana (CIAC),Colombia Companies
Croatia Companies,"Companies (Competitors, Suppliers, Partners)"
DOK-ING,Croatia Companies
Cyprus Companies,"Companies (Competitors, Suppliers, Partners)"
SignalGenerix,Cyprus Companies
Czech Republic Companies,"Companies (Competitors, Suppliers, Partners)"
Aero Vodochody,Czech Republic Companies
Bohemia Interactive Simulations,Czech Republic Companies
Czechoslovak Group,Czech Republic Companies
"ERA, Omnipol",Czech Republic Companies
Excalibur Army,Czech Republic Companies
Groza VHF-UHF Comms Jammer,Czech Republic Companies
HTP Ostrava,Czech Republic Companies
LOM Praha,Czech Republic Companies
Denmark Companies,"Companies (Competitors, Suppliers, Partners)"
GomSpace,Denmark Companies
MyDefense,Denmark Companies
Odense,Denmark Companies
Systematic,Denmark Companies
Terma,Denmark Companies
Egypt Companies,"Companies (Competitors, Suppliers, Partners)"
International Marathon United Technology Group (IMUT),Egypt Companies
Estonia Companies,"Companies (Competitors, Suppliers, Partners)"
Milrem Robotics,Estonia Companies
European Companies (Multi-National),"Companies (Competitors, Suppliers, Partners)"
Airbus,European Companies (Multi-National)
Airbus - Other Businesses,Airbus
Acubed,Airbus - Other Businesses
Airbus BizLab,Airbus - Other Businesses
Airbus Ventures,Airbus - Other Businesses
Airbus Defense and Space,Airbus
"Airbus Communications, Intelligence & Security",Airbus Defense and Space
Airbus Military Aircraft,Airbus Defense and Space
Airbus Space Systems,Airbus Defense and Space
ANSYS SCADE,Airbus Defense and Space
Construcciones Aeronauticas SA (CASA),Airbus Defense and Space
OneWeb Satellites,Airbus Defense and Space
Airbus Helicopters,Airbus
Airbus Helicopters Inc. [US Subsidiary],Airbus Helicopters
Helibras,Airbus Helicopters
NHIndustries,Airbus Helicopters
"Airbus, Commercial & Airliner",Airbus
ATR,Airbus
GPT Special Project Management,Airbus
SURVEY Copter,Airbus
Eurofighter,European Companies (Multi-National)
Liebherr Group,European Companies (Multi-National)
Finland Companies,"Companies (Competitors, Suppliers, Partners)"
Bittium,Finland Companies
DA-Group,Finland Companies
Deltamarin,Finland Companies
ICEYE,Finland Companies
Patria,Finland Companies
Rauma Marine Constructions (RMC),Finland Companies
Robonic,Finland Companies
Sensofusion,Finland Companies
STX Europe,Finland Companies
"Turgis and Gaillard, T&G Nordic",Finland Companies
Varjo,Finland Companies
VTT Technical Research Centre of Finland,Finland Companies
France Companies,"Companies (Competitors, Suppliers, Partners)"
Alstom,France Companies
Arianespace,France Companies
Arquus,France Companies
Ascendance Flight Technologies,France Companies
Atos Information Technology,France Companies
ATR,France Companies
AVantix,France Companies
Capgemini,France Companies
CNIM,France Companies
CS Communication & Syst�mes,France Companies
CTA International (CTAI),France Companies
Dassault,France Companies
Delair,France Companies
Donecle,France Companies
Earthcube,France Companies
ECA Group,France Companies
ECA Robotics,ECA Group
Advanced Magnetic Ranges Australia (AMRA),ECA Robotics
Eurosam,France Companies
Eutelsat,France Companies
Exotrail,France Companies
Figeac Aero,France Companies
Flying Whales,France Companies
Framatome,France Companies
Gaussin,France Companies
GDI Simulation,France Companies
HGH Infrared,France Companies
iXBlue,France Companies
Kalray,France Companies
Mauric,France Companies
Naval Group,France Companies
DCNS Zamil,Naval Group
Naval Group Australia,Naval Group
Naval Group Pacific,Naval Group
Nexter,France Companies
CTA International (CTAI),Nexter
Novadem,France Companies
Onera,France Companies
Orolia,France Companies
Orolia Defense & Security,Orolia
Parrot,France Companies
Potez Aeronautique,France Companies
Safran,France Companies
Safran Aerospace Propulsion,Safran
Safran Aircraft Engines,Safran
CFM International,Safran Aircraft Engines
"Safran Aircraft Equipment, Defence, and Aerosystems",Safran
Safran Aerosystems,"Safran Aircraft Equipment, Defence, and Aerosystems"
Safran Electrical & Power,"Safran Aircraft Equipment, Defence, and Aerosystems"
Safran Electronics & Defence Businesses,"Safran Aircraft Equipment, Defence, and Aerosystems"
Safran Aircraft Interiors,Safran
Safran Corporate Ventures,Safran
Zodiac Aerospace S.A.,Safran
Safran Corporate Ventures,Zodiac Aerospace S.A.
Thales,France Companies
Defence and Security,Thales
Defence Mission Systems,Defence and Security
Thales Alenia Space,Thales
Ital-GovSatCom,Thales Alenia Space
Thales Australia,Thales
Australian Munitions (AM),Thales Australia
Thales Avionics,Thales
Thales Naval Systems,Thales
Thales Netherlands,Thales
Thales Reliance Defence Systems,Thales
Thales UK,Thales
Thales UK- Land and Air Systems,Thales
Thales Optronics,Thales UK- Land and Air Systems
Thales USA,Thales
ThalesRaytheonSystems,Thales
ThalesRaytheonSystems,France Companies
ThrustMe,France Companies
Total,France Companies
Saft,Total
UnseenLabs,France Companies
VoltAero,France Companies
Germany Companies,"Companies (Competitors, Suppliers, Partners)"
Alcan Systems,Germany Companies
APUS,Germany Companies
Artec,Germany Companies
Blohm+Voss,Germany Companies
BMW,Germany Companies
Daimler AG,Germany Companies
Mercedez-Benz,Daimler AG
Diehl Defence,Germany Companies
Dornier,Germany Companies
Dynamit Nobel Defence,Germany Companies
Elektroniksystem- und Logistik-GmbH,Germany Companies
Exolaunch,Germany Companies
Fassmer,Germany Companies
Fraundorfer Aeronautics,Germany Companies
"Fraunhofer Institute for Communication, Information Processing and Ergonomics FKIE",Germany Companies
German Aerospace Center (DLR),Germany Companies
German Naval Yards,Germany Companies
Grob Aircraft,Germany Companies
Heckler & Koch,Germany Companies
Hensoldt,Germany Companies
European Defensive Aids Sub System (EuroDASS) [Consortium],Hensoldt
Hensoldt South Africa,Hensoldt
Vincorion,Jenoptik
Krauss-Maffei Wegmann (KMW),Germany Companies
Artec,Krauss-Maffei Wegmann (KMW)
Lilium,Germany Companies
Lufthansa,Germany Companies
Lurssen Werft,Germany Companies
MAN Energy Solutions,Germany Companies
Marine Engines & Systems,MAN Energy Solutions
Microdrones,Germany Companies
MT Propeller,Germany Companies
MT-Propeller Entwicklung GmbH,Germany Companies
MTU Aero Engines,Germany Companies
OHB System AG,Germany Companies
Panavia,Germany Companies
Peene-Werft,Germany Companies
Porsche AG,Germany Companies
PTScientists,Germany Companies
Reiser,Germany Companies
Rheinland Air Service,Germany Companies
Rheinmetall,Germany Companies
Artec,Rheinmetall
Raytheon Rheinmetall Land Systems,Rheinmetall
Rheinmetall Defence UK,Rheinmetall
Rheinmetall BAE Systems Land,Rheinmetall Defence UK
CTA International (CTAI),Rheinmetall BAE Systems Land
Rheinmetall Electronic Solutions,Rheinmetall
Rheinmetall Fraen Fuzes,Rheinmetall
Rheinmetall Vehicle Systems,Rheinmetall
Rheinmetall Weapons and Ammunition,Rheinmetall
Rohde & Schwarz,Germany Companies
Siemens,Germany Companies
SIG Sauer,Germany Companies
SPAES GmbH,Germany Companies
Taurus Systems,Germany Companies
ThyssenKrupp,Germany Companies
ThyssenKrupp Marine Systems,ThyssenKrupp
Volocopter,Germany Companies
Wingcopter,Germany Companies
ZF Aviation Technology,Germany Companies
ZF Luftfahrttechnik (ZFL),Germany Companies
Hong Kong Companies,"Companies (Competitors, Suppliers, Partners)"
Horizons Ventures,Hong Kong Companies
OceanAlpha,Hong Kong Companies
SparkleTech,Hong Kong Companies
India Companies,"Companies (Competitors, Suppliers, Partners)"
Adani Group,India Companies
Aeron Systems,India Companies
Agnikul Cosmos,India Companies
Ashok Leyland,India Companies
Bellatrix Aerospace,India Companies
BEML,India Companies
Bharat Dynamics Limited,India Companies
Bharat Electronics Limited,India Companies
Bharti Global,India Companies
OneWeb Satellites,Bharti Global
BHEL,India Companies
Cochin Shipyard Limited (CSL),India Companies
Cyient,India Companies
Dynamatic Technologies Limited,India Companies
Garden Reach Shipbuilders & Engineers (GRSE),India Companies
Godrej Aerospace,India Companies
Hinduja,India Companies
Hindustan Aeronautic Limited (HAL),India Companies
Hindustan Shipyard Ltd (HSL),India Companies
Indocopters,India Companies
Kalyani,India Companies
Larsen & Toubro (L&T),India Companies
L&T MBDA Missile Systems Limited (LTMMSL),Larsen & Toubro (L&T)
Larsen & Tourbro Limited (L&T),India Companies
Lohia,India Companies
Mahindra Group,India Companies
Mazagon Dock Shipbuilders Limited (MDL),India Companies
Megha Engineering and Infrastructures Limited (MEIL),India Companies
Mishra Dhatu Nigam (Midhani),India Companies
MKU Ltd.,India Companies
NoPo Nanotechnologies Ltd.,India Companies
Pawan Hans Limited,India Companies
Persistent Systems,India Companies
"PT Dirgantara Indonesia (PTDI), Indian Aerospace",India Companies
Reliance India,India Companies
Reliance Naval and Engineering,Reliance India
Thales Reliance Defence Systems,Reliance India
Skyroot Aerospace,India Companies
Tata,India Companies
Walchandnagar Industries,India Companies
Indonesia Companies,"Companies (Competitors, Suppliers, Partners)"
Garuda Indonesia,Indonesia Companies
GMF Aeroasia,Indonesia Companies
Indonesian Aerospace,Indonesia Companies
PT Askrindo,Indonesia Companies
PT Dirgantara Indonesia (PTDI),Indonesia Companies
PT Len Industri,Indonesia Companies
PT Lundin,Indonesia Companies
PT PAL,Indonesia Companies
PT Pasifik Satelit Nusantara,Indonesia Companies
PT Pindad,Indonesia Companies
PT Smart Cakrawala Aviation,Indonesia Companies
Iran Companies,"Companies (Competitors, Suppliers, Partners)"
Aerospace Industries Organization,Iran Companies
Defense Industries Organization,Iran Companies
Iran Aircraft Manufacturing Industrial Company (HESA),Iran Companies
Iran Aviation Industries Organization (IAIO),Iran Companies
Qods Aviation,Iran Companies
Sanam Industrial Group,Iran Companies
Shahed Aviation Industries,Iran Companies
